"i","x","y"
514,-0.326171875,-0.265625
431,-0.32421875,-0.267578125
517,-0.32421875,-0.265625
432,-0.322265625,-0.267578125
441,-0.3203125,-0.26953125
443,-0.3203125,-0.267578125
518,-0.322265625,-0.265625
442,-0.318359375,-0.26953125
439,-0.31640625,-0.271484375
445,-0.31640625,-0.26953125
440,-0.314453125,-0.271484375
446,-0.314453125,-0.26953125
718,-0.3125,-0.271484375
724,-0.3125,-0.26953125
444,-0.318359375,-0.267578125
486,-0.337890625,-0.2578125
475,-0.3359375,-0.259765625
497,-0.3359375,-0.2578125
472,-0.330078125,-0.263671875
513,-0.328125,-0.265625
515,-0.328125,-0.263671875
477,-0.33203125,-0.26171875
478,-0.330078125,-0.26171875
474,-0.333984375,-0.26171875
476,-0.333984375,-0.259765625
479,-0.33203125,-0.259765625
490,-0.341796875,-0.25390625
487,-0.33984375,-0.255859375
493,-0.33984375,-0.25390625
488,-0.337890625,-0.255859375
491,-0.34375,-0.251953125
492,-0.341796875,-0.251953125
2030,-0.34375,-0.25
2031,-0.341796875,-0.25
516,-0.326171875,-0.263671875
721,-0.306640625,-0.2734375
710,-0.3046875,-0.275390625
732,-0.3046875,-0.2734375
711,-0.302734375,-0.275390625
733,-0.302734375,-0.2734375
714,-0.30078125,-0.275390625
736,-0.30078125,-0.2734375
715,-0.298828125,-0.275390625
737,-0.298828125,-0.2734375
758,-0.296875,-0.275390625
780,-0.296875,-0.2734375
717,-0.310546875,-0.2734375
719,-0.310546875,-0.271484375
720,-0.30859375,-0.2734375
722,-0.30859375,-0.271484375
723,-0.306640625,-0.271484375
759,-0.294921875,-0.275390625
781,-0.294921875,-0.2734375
762,-0.29296875,-0.275390625
784,-0.29296875,-0.2734375
761,-0.291015625,-0.27734375
763,-0.291015625,-0.275390625
772,-0.2890625,-0.27734375
774,-0.2890625,-0.275390625
773,-0.287109375,-0.27734375
775,-0.287109375,-0.275390625
776,-0.28515625,-0.27734375
778,-0.28515625,-0.275390625
777,-0.283203125,-0.27734375
779,-0.283203125,-0.275390625
886,-0.28125,-0.27734375
888,-0.28125,-0.275390625
887,-0.279296875,-0.27734375
889,-0.279296875,-0.275390625
890,-0.27734375,-0.27734375
892,-0.27734375,-0.275390625
891,-0.275390625,-0.27734375
893,-0.275390625,-0.275390625
902,-0.2734375,-0.27734375
904,-0.2734375,-0.275390625
903,-0.271484375,-0.27734375
905,-0.271484375,-0.275390625
908,-0.26953125,-0.275390625
930,-0.26953125,-0.2734375
909,-0.267578125,-0.275390625
931,-0.267578125,-0.2734375
952,-0.265625,-0.275390625
974,-0.265625,-0.2734375
953,-0.263671875,-0.275390625
975,-0.263671875,-0.2734375
956,-0.26171875,-0.275390625
978,-0.26171875,-0.2734375
957,-0.259765625,-0.275390625
979,-0.259765625,-0.2734375
968,-0.2578125,-0.275390625
990,-0.2578125,-0.2734375
969,-0.255859375,-0.275390625
991,-0.255859375,-0.2734375
994,-0.25390625,-0.2734375
996,-0.25390625,-0.271484375
995,-0.251953125,-0.2734375
997,-0.251953125,-0.271484375
1097,-0.25,-0.2734375
1099,-0.25,-0.271484375
1098,-0.248046875,-0.2734375
1100,-0.248046875,-0.271484375
1101,-0.24609375,-0.2734375
1103,-0.24609375,-0.271484375
1104,-0.244140625,-0.271484375
1110,-0.244140625,-0.26953125
1115,-0.2421875,-0.271484375
1121,-0.2421875,-0.26953125
1116,-0.240234375,-0.271484375
1122,-0.240234375,-0.26953125
1119,-0.23828125,-0.271484375
1125,-0.23828125,-0.26953125
1126,-0.236328125,-0.26953125
1128,-0.236328125,-0.267578125
1156,-0.234375,-0.26953125
1158,-0.234375,-0.267578125
1157,-0.232421875,-0.26953125
1159,-0.232421875,-0.267578125
1160,-0.23046875,-0.26953125
1162,-0.23046875,-0.267578125
1163,-0.228515625,-0.267578125
1216,-0.228515625,-0.265625
1174,-0.2265625,-0.267578125
1227,-0.2265625,-0.265625
1175,-0.224609375,-0.267578125
1228,-0.224609375,-0.265625
1231,-0.22265625,-0.265625
1233,-0.22265625,-0.263671875
1232,-0.220703125,-0.265625
1234,-0.220703125,-0.263671875
1293,-0.21875,-0.265625
1295,-0.21875,-0.263671875
1296,-0.216796875,-0.263671875
1302,-0.216796875,-0.26171875
1299,-0.21484375,-0.263671875
1305,-0.21484375,-0.26171875
1306,-0.212890625,-0.26171875
1308,-0.212890625,-0.259765625
1317,-0.2109375,-0.26171875
1319,-0.2109375,-0.259765625
1318,-0.208984375,-0.26171875
1320,-0.208984375,-0.259765625
1323,-0.20703125,-0.259765625
1343,-0.20703125,-0.2578125
1324,-0.205078125,-0.259765625
1344,-0.205078125,-0.2578125
1365,-0.203125,-0.259765625
1382,-0.203125,-0.2578125
1383,-0.201171875,-0.2578125
1385,-0.201171875,-0.255859375
1386,-0.19921875,-0.2578125
1388,-0.19921875,-0.255859375
1389,-0.197265625,-0.255859375
1395,-0.197265625,-0.25390625
1400,-0.1953125,-0.255859375
1406,-0.1953125,-0.25390625
1407,-0.193359375,-0.25390625
1409,-0.193359375,-0.251953125
1410,-0.19140625,-0.25390625
1412,-0.19140625,-0.251953125
1413,-0.189453125,-0.251953125
3559,-0.189453125,-0.25
1438,-0.1875,-0.251953125
3583,-0.1875,-0.25
3584,-0.185546875,-0.25
1538,-0.001953125,-0.3046875
1522,0,-0.306640625
1539,0,-0.3046875
1541,-0.001953125,-0.302734375
1542,0,-0.302734375
1547,-0.00390625,-0.30078125
1548,-0.001953125,-0.30078125
1583,-0.005859375,-0.296875
1550,-0.00390625,-0.298828125
1586,-0.00390625,-0.296875
1551,-0.001953125,-0.298828125
1585,-0.005859375,-0.294921875
1589,-0.00390625,-0.294921875
1593,-0.005859375,-0.29296875
1596,-0.00390625,-0.29296875
1594,-0.0078125,-0.291015625
1595,-0.005859375,-0.291015625
1618,-0.0078125,-0.2890625
1619,-0.005859375,-0.2890625
1609,-0.009765625,-0.287109375
1620,-0.0078125,-0.287109375
1615,-0.009765625,-0.28515625
1628,-0.0078125,-0.28515625
1616,-0.01171875,-0.283203125
1617,-0.009765625,-0.283203125
1683,-0.01171875,-0.28125
1684,-0.009765625,-0.28125
1676,-0.017578125,-0.26953125
1712,-0.015625,-0.271484375
1718,-0.015625,-0.26953125
1678,-0.017578125,-0.267578125
1720,-0.015625,-0.267578125
1748,-0.017578125,-0.265625
1791,-0.015625,-0.265625
1682,-0.013671875,-0.279296875
1685,-0.01171875,-0.279296875
1688,-0.013671875,-0.27734375
1691,-0.01171875,-0.27734375
1690,-0.013671875,-0.275390625
1693,-0.01171875,-0.275390625
1710,-0.015625,-0.2734375
1711,-0.013671875,-0.2734375
1713,-0.013671875,-0.271484375
1749,-0.01953125,-0.263671875
1750,-0.017578125,-0.263671875
1755,-0.01953125,-0.26171875
1756,-0.017578125,-0.26171875
1754,-0.021484375,-0.259765625
1757,-0.01953125,-0.259765625
1776,-0.021484375,-0.2578125
1779,-0.01953125,-0.2578125
1778,-0.021484375,-0.255859375
1781,-0.01953125,-0.255859375
1783,-0.0234375,-0.25390625
1784,-0.021484375,-0.25390625
1785,-0.0234375,-0.251953125
1786,-0.021484375,-0.251953125
4330,-0.0234375,-0.25
4331,-0.021484375,-0.25
1891,-0.345703125,-0.248046875
2032,-0.34375,-0.248046875
1896,-0.34765625,-0.24609375
1897,-0.345703125,-0.24609375
1917,-0.349609375,-0.2421875
1898,-0.34765625,-0.244140625
1920,-0.34765625,-0.2421875
1899,-0.345703125,-0.244140625
1971,-0.353515625,-0.234375
1926,-0.3515625,-0.236328125
1982,-0.3515625,-0.234375
1919,-0.349609375,-0.240234375
1922,-0.34765625,-0.240234375
1924,-0.3515625,-0.23828125
1925,-0.349609375,-0.23828125
1927,-0.349609375,-0.236328125
1973,-0.353515625,-0.232421875
1984,-0.3515625,-0.232421875
1979,-0.353515625,-0.23046875
1990,-0.3515625,-0.23046875
1981,-0.353515625,-0.228515625
1992,-0.3515625,-0.228515625
2002,-0.35546875,-0.2265625
2003,-0.353515625,-0.2265625
2004,-0.35546875,-0.224609375
2005,-0.353515625,-0.224609375
