"i","x","y"
1449,-0.326171875,-0.265625
1116,-0.3251953125,-0.2666015625
1450,-0.3251953125,-0.265625
1127,-0.32421875,-0.2666015625
1461,-0.32421875,-0.265625
1129,-0.322265625,-0.267578125
1124,-0.3212890625,-0.2685546875
1130,-0.3212890625,-0.267578125
1167,-0.3203125,-0.2685546875
1173,-0.3203125,-0.267578125
1126,-0.3232421875,-0.267578125
1128,-0.3232421875,-0.2666015625
1131,-0.322265625,-0.2666015625
1169,-0.318359375,-0.26953125
1148,-0.3173828125,-0.2705078125
1170,-0.3173828125,-0.26953125
1159,-0.31640625,-0.2705078125
1181,-0.31640625,-0.26953125
1160,-0.3154296875,-0.2705078125
1161,-0.314453125,-0.271484375
1163,-0.314453125,-0.2705078125
1182,-0.3154296875,-0.26953125
1162,-0.3134765625,-0.271484375
1164,-0.3134765625,-0.2705078125
1723,-0.3125,-0.271484375
1725,-0.3125,-0.2705078125
1166,-0.3193359375,-0.26953125
1168,-0.3193359375,-0.2685546875
1171,-0.318359375,-0.2685546875
1343,-0.3369140625,-0.2578125
1300,-0.3359375,-0.2587890625
1386,-0.3359375,-0.2578125
1287,-0.3291015625,-0.263671875
1447,-0.328125,-0.2646484375
1453,-0.328125,-0.263671875
1285,-0.3310546875,-0.2626953125
1286,-0.330078125,-0.263671875
1288,-0.330078125,-0.2626953125
1306,-0.33203125,-0.26171875
1307,-0.3310546875,-0.26171875
1289,-0.3291015625,-0.2626953125
1299,-0.3349609375,-0.259765625
1296,-0.333984375,-0.2607421875
1302,-0.333984375,-0.259765625
1295,-0.3330078125,-0.26171875
1297,-0.3330078125,-0.2607421875
1308,-0.33203125,-0.2607421875
1301,-0.3349609375,-0.2587890625
1359,-0.3408203125,-0.25390625
1348,-0.33984375,-0.2548828125
1370,-0.33984375,-0.25390625
1347,-0.3388671875,-0.255859375
1344,-0.337890625,-0.2568359375
1350,-0.337890625,-0.255859375
1345,-0.3369140625,-0.2568359375
1349,-0.3388671875,-0.2548828125
1363,-0.3427734375,-0.251953125
1360,-0.341796875,-0.2529296875
1366,-0.341796875,-0.251953125
1361,-0.3408203125,-0.2529296875
1364,-0.34375,-0.2509765625
1365,-0.3427734375,-0.2509765625
4633,-0.34375,-0.25
4634,-0.3427734375,-0.25
1446,-0.3271484375,-0.265625
1448,-0.3271484375,-0.2646484375
1451,-0.326171875,-0.2646484375
1736,-0.3056640625,-0.2734375
1693,-0.3046875,-0.2744140625
1779,-0.3046875,-0.2734375
1694,-0.3037109375,-0.2744140625
1780,-0.3037109375,-0.2734375
1697,-0.302734375,-0.2744140625
1783,-0.302734375,-0.2734375
1698,-0.3017578125,-0.2744140625
1784,-0.3017578125,-0.2734375
1709,-0.30078125,-0.2744140625
1795,-0.30078125,-0.2734375
1710,-0.2998046875,-0.2744140625
1711,-0.298828125,-0.275390625
1713,-0.298828125,-0.2744140625
1796,-0.2998046875,-0.2734375
1712,-0.2978515625,-0.275390625
1714,-0.2978515625,-0.2744140625
1876,-0.296875,-0.275390625
1878,-0.296875,-0.2744140625
1718,-0.3115234375,-0.2724609375
1724,-0.3115234375,-0.271484375
1721,-0.310546875,-0.2724609375
1727,-0.310546875,-0.271484375
1722,-0.3095703125,-0.2724609375
1731,-0.30859375,-0.2734375
1733,-0.30859375,-0.2724609375
1728,-0.3095703125,-0.271484375
1732,-0.3076171875,-0.2734375
1734,-0.3076171875,-0.2724609375
1735,-0.306640625,-0.2734375
1737,-0.306640625,-0.2724609375
1738,-0.3056640625,-0.2724609375
1877,-0.2958984375,-0.275390625
1879,-0.2958984375,-0.2744140625
1880,-0.294921875,-0.275390625
1882,-0.294921875,-0.2744140625
1881,-0.2939453125,-0.275390625
1883,-0.2939453125,-0.2744140625
1892,-0.29296875,-0.275390625
1894,-0.29296875,-0.2744140625
1893,-0.2919921875,-0.275390625
1890,-0.291015625,-0.2763671875
1896,-0.291015625,-0.275390625
1891,-0.2900390625,-0.2763671875
1897,-0.2900390625,-0.275390625
1934,-0.2890625,-0.2763671875
1940,-0.2890625,-0.275390625
1895,-0.2919921875,-0.2744140625
1935,-0.2880859375,-0.2763671875
1941,-0.2880859375,-0.275390625
1938,-0.287109375,-0.2763671875
1944,-0.287109375,-0.275390625
1939,-0.2861328125,-0.2763671875
1945,-0.2861328125,-0.275390625
1950,-0.28515625,-0.2763671875
1956,-0.28515625,-0.275390625
1951,-0.2841796875,-0.2763671875
1957,-0.2841796875,-0.275390625
1954,-0.283203125,-0.2763671875
1960,-0.283203125,-0.275390625
1955,-0.2822265625,-0.2763671875
1961,-0.2822265625,-0.275390625
2118,-0.28125,-0.2763671875
2124,-0.28125,-0.275390625
2119,-0.2802734375,-0.2763671875
2125,-0.2802734375,-0.275390625
2122,-0.279296875,-0.2763671875
2128,-0.279296875,-0.275390625
2123,-0.2783203125,-0.2763671875
2129,-0.2783203125,-0.275390625
2134,-0.27734375,-0.2763671875
2140,-0.27734375,-0.275390625
2135,-0.2763671875,-0.2763671875
2141,-0.2763671875,-0.275390625
2138,-0.275390625,-0.2763671875
2144,-0.275390625,-0.275390625
2139,-0.2744140625,-0.2763671875
2145,-0.2744140625,-0.275390625
2182,-0.2734375,-0.2763671875
2188,-0.2734375,-0.275390625
2183,-0.2724609375,-0.2763671875
2189,-0.2724609375,-0.275390625
2186,-0.271484375,-0.2763671875
2192,-0.271484375,-0.275390625
2193,-0.2705078125,-0.275390625
2195,-0.2705078125,-0.2744140625
2204,-0.26953125,-0.275390625
2206,-0.26953125,-0.2744140625
2205,-0.2685546875,-0.275390625
2207,-0.2685546875,-0.2744140625
2208,-0.267578125,-0.275390625
2210,-0.267578125,-0.2744140625
2209,-0.2666015625,-0.275390625
2211,-0.2666015625,-0.2744140625
2321,-0.265625,-0.275390625
2323,-0.265625,-0.2744140625
2322,-0.2646484375,-0.275390625
2324,-0.2646484375,-0.2744140625
2325,-0.263671875,-0.275390625
2327,-0.263671875,-0.2744140625
2326,-0.2626953125,-0.275390625
2328,-0.2626953125,-0.2744140625
2337,-0.26171875,-0.275390625
2339,-0.26171875,-0.2744140625
2340,-0.2607421875,-0.2744140625
2412,-0.2607421875,-0.2734375
2343,-0.259765625,-0.2744140625
2415,-0.259765625,-0.2734375
2344,-0.2587890625,-0.2744140625
2416,-0.2587890625,-0.2734375
2373,-0.2578125,-0.2744140625
2435,-0.2578125,-0.2734375
2374,-0.2568359375,-0.2744140625
2436,-0.2568359375,-0.2734375
2377,-0.255859375,-0.2744140625
2439,-0.255859375,-0.2734375
2440,-0.2548828125,-0.2734375
2442,-0.2548828125,-0.2724609375
2451,-0.25390625,-0.2734375
2453,-0.25390625,-0.2724609375
2452,-0.2529296875,-0.2734375
2454,-0.2529296875,-0.2724609375
2455,-0.251953125,-0.2734375
2457,-0.251953125,-0.2724609375
2456,-0.2509765625,-0.2734375
2458,-0.2509765625,-0.2724609375
2609,-0.25,-0.2734375
2611,-0.25,-0.2724609375
2612,-0.2490234375,-0.2724609375
2618,-0.2490234375,-0.271484375
2615,-0.248046875,-0.2724609375
2621,-0.248046875,-0.271484375
2616,-0.2470703125,-0.2724609375
2622,-0.2470703125,-0.271484375
2627,-0.24609375,-0.2724609375
2633,-0.24609375,-0.271484375
2634,-0.2451171875,-0.271484375
2636,-0.2451171875,-0.2705078125
2637,-0.244140625,-0.271484375
2639,-0.244140625,-0.2705078125
2638,-0.2431640625,-0.271484375
2640,-0.2431640625,-0.2705078125
2677,-0.2421875,-0.271484375
2679,-0.2421875,-0.2705078125
2678,-0.2412109375,-0.271484375
2680,-0.2412109375,-0.2705078125
2683,-0.240234375,-0.2705078125
2705,-0.240234375,-0.26953125
2684,-0.2392578125,-0.2705078125
