"i","x","y"
289,-0.28125,-0.25
102,-0.265625,-0.265625
290,-0.265625,-0.25
152,-0.25,-0.265625
416,-0.25,-0.25
153,-0.234375,-0.265625
417,-0.234375,-0.25
156,-0.21875,-0.265625
420,-0.21875,-0.25
157,-0.203125,-0.265625
421,-0.203125,-0.25
432,-0.1875,-0.25
225,-0.015625,-0.296875
223,0,-0.3125
226,0,-0.296875
232,-0.015625,-0.28125
233,0,-0.28125
234,-0.03125,-0.265625
235,-0.015625,-0.265625
495,-0.03125,-0.25
496,-0.015625,-0.25
282,-0.328125,-0.21875
287,-0.3125,-0.234375
293,-0.3125,-0.21875
284,-0.328125,-0.203125
295,-0.3125,-0.203125
306,-0.328125,-0.1875
317,-0.3125,-0.1875
286,-0.296875,-0.25
288,-0.296875,-0.234375
291,-0.28125,-0.234375
308,-0.328125,-0.171875
319,-0.3125,-0.171875
314,-0.328125,-0.15625
325,-0.3125,-0.15625
316,-0.328125,-0.140625
327,-0.3125,-0.140625
363,-0.3125,-0.125
364,-0.296875,-0.125
365,-0.3125,-0.109375
366,-0.296875,-0.109375
372,-0.296875,-0.09375
375,-0.28125,-0.09375
377,-0.28125,-0.078125
378,-0.265625,-0.078125
401,-0.265625,-0.0625
572,-0.25,-0.0625
574,-0.25,-0.046875
434,-0.1875,-0.234375
433,-0.171875,-0.25
435,-0.171875,-0.234375
436,-0.15625,-0.25
438,-0.15625,-0.234375
439,-0.140625,-0.234375
445,-0.140625,-0.21875
477,-0.125,-0.234375
483,-0.125,-0.21875
484,-0.109375,-0.21875
486,-0.109375,-0.203125
487,-0.09375,-0.21875
489,-0.09375,-0.203125
488,-0.078125,-0.21875
490,-0.078125,-0.203125
501,-0.0625,-0.21875
503,-0.0625,-0.203125
494,-0.046875,-0.234375
498,-0.03125,-0.234375
502,-0.046875,-0.21875
575,-0.234375,-0.046875
581,-0.234375,-0.03125
586,-0.21875,-0.03125
584,-0.234375,-0.015625
588,-0.21875,-0.015625
589,-0.21875,0
591,-0.203125,0
781,0.03125,-0.34375
778,0.046875,-0.359375
782,0.046875,-0.34375
787,0.0625,-0.359375
793,0.0625,-0.34375
780,0.015625,-0.328125
783,0.03125,-0.328125
801,0.015625,-0.3125
786,0.078125,-0.375
788,0.078125,-0.359375
789,0.09375,-0.375
791,0.09375,-0.359375
790,0.109375,-0.375
792,0.109375,-0.359375
829,0.125,-0.375
831,0.125,-0.359375
832,0.140625,-0.359375
838,0.140625,-0.34375
841,0.15625,-0.34375
843,0.15625,-0.328125
844,0.171875,-0.328125
865,0.15625,-0.3125
866,0.171875,-0.3125
867,0.15625,-0.296875
868,0.171875,-0.296875
874,0.171875,-0.28125
885,0.1875,-0.28125
