"i","x","y"
544,-0.3828125,-0.3125
427,-0.37890625,-0.31640625
545,-0.37890625,-0.3125
753,-0.375,-0.31640625
919,-0.375,-0.3125
521,-0.41015625,-0.2890625
558,-0.40625,-0.29296875
564,-0.40625,-0.2890625
523,-0.41015625,-0.28515625
566,-0.40625,-0.28515625
608,-0.4140625,-0.28125
609,-0.41015625,-0.28125
537,-0.39453125,-0.3046875
542,-0.390625,-0.30859375
548,-0.390625,-0.3046875
535,-0.40234375,-0.30078125
536,-0.3984375,-0.3046875
538,-0.3984375,-0.30078125
557,-0.40234375,-0.296875
560,-0.3984375,-0.296875
539,-0.39453125,-0.30078125
541,-0.38671875,-0.3125
543,-0.38671875,-0.30859375
546,-0.3828125,-0.30859375
559,-0.40234375,-0.29296875
610,-0.4140625,-0.27734375
611,-0.41015625,-0.27734375
616,-0.4140625,-0.2734375
617,-0.41015625,-0.2734375
615,-0.41796875,-0.26953125
618,-0.4140625,-0.26953125
637,-0.41796875,-0.265625
640,-0.4140625,-0.265625
639,-0.41796875,-0.26171875
642,-0.4140625,-0.26171875
645,-0.41796875,-0.2578125
648,-0.4140625,-0.2578125
647,-0.41796875,-0.25390625
650,-0.4140625,-0.25390625
1614,-0.41796875,-0.25
1617,-0.4140625,-0.25
754,-0.37109375,-0.31640625
755,-0.3671875,-0.3203125
757,-0.3671875,-0.31640625
920,-0.37109375,-0.3125
756,-0.36328125,-0.3203125
758,-0.36328125,-0.31640625
767,-0.359375,-0.3203125
769,-0.359375,-0.31640625
768,-0.35546875,-0.3203125
770,-0.35546875,-0.31640625
771,-0.3515625,-0.3203125
773,-0.3515625,-0.31640625
772,-0.34765625,-0.3203125
774,-0.34765625,-0.31640625
813,-0.34375,-0.3203125
815,-0.34375,-0.31640625
814,-0.33984375,-0.3203125
816,-0.33984375,-0.31640625
817,-0.3359375,-0.3203125
819,-0.3359375,-0.31640625
818,-0.33203125,-0.3203125
820,-0.33203125,-0.31640625
829,-0.328125,-0.3203125
831,-0.328125,-0.31640625
830,-0.32421875,-0.3203125
832,-0.32421875,-0.31640625
833,-0.3203125,-0.3203125
835,-0.3203125,-0.31640625
834,-0.31640625,-0.3203125
836,-0.31640625,-0.31640625
865,-0.3125,-0.3203125
867,-0.3125,-0.31640625
866,-0.30859375,-0.3203125
868,-0.30859375,-0.31640625
871,-0.3046875,-0.31640625
1032,-0.3046875,-0.3125
872,-0.30078125,-0.31640625
1033,-0.30078125,-0.3125
883,-0.296875,-0.31640625
1044,-0.296875,-0.3125
884,-0.29296875,-0.31640625
1045,-0.29296875,-0.3125
1048,-0.2890625,-0.3125
1050,-0.2890625,-0.30859375
1049,-0.28515625,-0.3125
1051,-0.28515625,-0.30859375
1073,-0.28125,-0.3125
1075,-0.28125,-0.30859375
1076,-0.27734375,-0.30859375
1082,-0.27734375,-0.3046875
1079,-0.2734375,-0.30859375
1085,-0.2734375,-0.3046875
1080,-0.26953125,-0.30859375
1086,-0.26953125,-0.3046875
1097,-0.265625,-0.3046875
1099,-0.265625,-0.30078125
1098,-0.26171875,-0.3046875
1100,-0.26171875,-0.30078125
1101,-0.2578125,-0.3046875
1103,-0.2578125,-0.30078125
1104,-0.25390625,-0.30078125
1122,-0.25390625,-0.296875
1167,-0.25,-0.30078125
1184,-0.25,-0.296875
1185,-0.24609375,-0.296875
1187,-0.24609375,-0.29296875
1188,-0.2421875,-0.296875
1190,-0.2421875,-0.29296875
1191,-0.23828125,-0.29296875
1197,-0.23828125,-0.2890625
1202,-0.234375,-0.29296875
1208,-0.234375,-0.2890625
1209,-0.23046875,-0.2890625
1211,-0.23046875,-0.28515625
1212,-0.2265625,-0.2890625
1214,-0.2265625,-0.28515625
1215,-0.22265625,-0.28515625
1262,-0.22265625,-0.28125
1230,-0.21875,-0.28515625
1276,-0.21875,-0.28125
1277,-0.21484375,-0.28125
1279,-0.21484375,-0.27734375
1280,-0.2109375,-0.28125
1282,-0.2109375,-0.27734375
1283,-0.20703125,-0.27734375
1289,-0.20703125,-0.2734375
1300,-0.203125,-0.2734375
1302,-0.203125,-0.26953125
1301,-0.19921875,-0.2734375
1303,-0.19921875,-0.26953125
1306,-0.1953125,-0.26953125
1324,-0.1953125,-0.265625
1325,-0.19140625,-0.265625
1327,-0.19140625,-0.26171875
1357,-0.1875,-0.265625
1359,-0.1875,-0.26171875
1360,-0.18359375,-0.26171875
1366,-0.18359375,-0.2578125
1369,-0.1796875,-0.2578125
1371,-0.1796875,-0.25390625
1370,-0.17578125,-0.2578125
1372,-0.17578125,-0.25390625
1383,-0.171875,-0.25390625
2412,-0.171875,-0.25
2413,-0.16796875,-0.25
1447,-0.00390625,-0.328125
4512,0,-0.33203125
4528,0,-0.328125
1449,-0.00390625,-0.32421875
4530,0,-0.32421875
1455,-0.00390625,-0.3203125
4536,0,-0.3203125
1456,-0.0078125,-0.31640625
1457,-0.00390625,-0.31640625
1476,-0.0078125,-0.3125
1477,-0.00390625,-0.3125
1481,-0.01171875,-0.3046875
1478,-0.0078125,-0.30859375
1484,-0.0078125,-0.3046875
1479,-0.00390625,-0.30859375
1483,-0.01171875,-0.30078125
1486,-0.0078125,-0.30078125
1505,-0.01171875,-0.296875
1508,-0.0078125,-0.296875
1538,-0.01953125,-0.28125
1514,-0.015625,-0.28515625
1549,-0.015625,-0.28125
1506,-0.015625,-0.29296875
1507,-0.01171875,-0.29296875
1512,-0.015625,-0.2890625
1513,-0.01171875,-0.2890625
1515,-0.01171875,-0.28515625
1540,-0.01953125,-0.27734375
1551,-0.015625,-0.27734375
1546,-0.01953125,-0.2734375
1557,-0.015625,-0.2734375
1548,-0.01953125,-0.26953125
1559,-0.015625,-0.26953125
1568,-0.0234375,-0.265625
1569,-0.01953125,-0.265625
1570,-0.0234375,-0.26171875
1571,-0.01953125,-0.26171875
1576,-0.0234375,-0.2578125
1577,-0.01953125,-0.2578125
2663,-0.02734375,-0.25
1578,-0.0234375,-0.25390625
2666,-0.0234375,-0.25
1579,-0.01953125,-0.25390625
1616,-0.41796875,-0.24609375
1619,-0.4140625,-0.24609375
1625,-0.4140625,-0.2421875
1626,-0.41015625,-0.2421875
1627,-0.4140625,-0.23828125
1628,-0.41015625,-0.23828125
1647,-0.4140625,-0.234375
1648,-0.41015625,-0.234375
1649,-0.4140625,-0.23046875
1650,-0.41015625,-0.23046875
1656,-0.41015625,-0.2265625
1688,-0.40625,-0.2265625
1658,-0.41015625,-0.22265625
1690,-0.40625,-0.22265625
1723,-0.41015625,-0.21875
1753,-0.40625,-0.21875
1755,-0.40625,-0.21484375
1756,-0.40234375,-0.21484375
1761,-0.40625,-0.2109375
1762,-0.40234375,-0.2109375
1763,-0.40625,-0.20703125
1764,-0.40234375,-0.20703125
1784,-0.40234375,-0.203125
1787,-0.3984375,-0.203125
1786,-0.40234375,-0.19921875
1789,-0.3984375,-0.19921875
1795,-0.3984375,-0.1953125
1796,-0.39453125,-0.1953125
1798,-0.39453125,-0.19140625
1809,-0.390625,-0.19140625
1834,-0.39453125,-0.1875
1845,-0.390625,-0.1875
1847,-0.390625,-0.18359375
1848,-0.38671875,-0.18359375
1853,-0.390625,-0.1796875
1854,-0.38671875,-0.1796875
1856,-0.38671875,-0.17578125
1859,-0.3828125,-0.17578125
1876,-0.3828125,-0.171875
1877,-0.37890625,-0.171875
1879,-0.37890625,-0.16796875
1954,-0.375,-0.16796875
1885,-0.37890625,-0.1640625
1960,-0.375,-0.1640625
1962,-0.375,-0.16015625
1963,-0.37109375,-0.16015625
1984,-0.37109375,-0.15625
1987,-0.3671875,-0.15625
1989,-0.3671875,-0.15234375
1990,-0.36328125,-0.15234375
1996,-0.36328125,-0.1484375
2007,-0.359375,-0.1484375
2009,-0.359375,-0.14453125
2010,-0.35546875,-0.14453125
2029,-0.359375,-0.140625
2030,-0.35546875,-0.140625
2032,-0.35546875,-0.13671875
2035,-0.3515625,-0.13671875
2041,-0.3515625,-0.1328125
2042,-0.34765625,-0.1328125
2044,-0.34765625,-0.12890625
2066,-0.34375,-0.12890625
2112,-0.34375,-0.125
2113,-0.33984375,-0.125
2115,-0.33984375,-0.12109375
2116,-0.3359375,-0.125
2118,-0.3359375,-0.12109375
2119,-0.33203125,-0.12109375
2125,-0.33203125,-0.1171875
2136,-0.328125,-0.1171875
2138,-0.328125,-0.11328125
2139,-0.32421875,-0.11328125
2159,-0.32421875,-0.109375
2162,-0.3203125,-0.109375
2164,-0.3203125,-0.10546875
2165,-0.31640625,-0.10546875
2171,-0.31640625,-0.1015625
2210,-0.3125,-0.1015625
2212,-0.3125,-0.09765625
2211,-0.30859375,-0.1015625
2213,-0.30859375,-0.09765625
2216,-0.3046875,-0.09765625
2237,-0.3046875,-0.09375
2238,-0.30078125,-0.09375
2240,-0.30078125,-0.08984375
2251,-0.296875,-0.08984375
2257,-0.296875,-0.0859375
2258,-0.29296875,-0.0859375
2260,-0.29296875,-0.08203125
2261,-0.2890625,-0.0859375
2263,-0.2890625,-0.08203125
2264,-0.28515625,-0.08203125
2279,-0.28515625,-0.078125
2305,-0.28125,-0.078125
2307,-0.28125,-0.07421875
2306,-0.27734375,-0.078125
2308,-0.27734375,-0.07421875
2311,-0.2734375,-0.07421875
2317,-0.2734375,-0.0703125
2318,-0.26953125,-0.0703125
2320,-0.26953125,-0.06640625
2329,-0.265625,-0.0703125
2331,-0.265625,-0.06640625
2332,-0.26171875,-0.06640625
2358,-0.26171875,-0.0625
2361,-0.2578125,-0.0625
2363,-0.2578125,-0.05859375
2362,-0.25390625,-0.0625
2364,-0.25390625,-0.05859375
3073,-0.25,-0.05859375
3079,-0.25,-0.0546875
2415,-0.16796875,-0.24609375
2416,-0.1640625,-0.25
2418,-0.1640625,-0.24609375
2419,-0.16015625,-0.24609375
2425,-0.16015625,-0.2421875
2448,-0.15625,-0.2421875
2450,-0.15625,-0.23828125
2451,-0.15234375,-0.23828125
2466,-0.15234375,-0.234375
2469,-0.1484375,-0.234375
2471,-0.1484375,-0.23046875
2470,-0.14453125,-0.234375
2472,-0.14453125,-0.23046875
2483,-0.140625,-0.23046875
2489,-0.140625,-0.2265625
2490,-0.13671875,-0.2265625
2492,-0.13671875,-0.22265625
2495,-0.1328125,-0.22265625
2513,-0.1328125,-0.21875
2514,-0.12890625,-0.21875
2516,-0.12890625,-0.21484375
2558,-0.125,-0.21484375
2564,-0.125,-0.2109375
2565,-0.12109375,-0.2109375
2567,-0.12109375,-0.20703125
2568,-0.1171875,-0.2109375
2570,-0.1171875,-0.20703125
2571,-0.11328125,-0.20703125
2591,-0.11328125,-0.203125
2600,-0.109375,-0.203125
2602,-0.109375,-0.19921875
2603,-0.10546875,-0.19921875
2609,-0.10546875,-0.1953125
2612,-0.1015625,-0.1953125
2614,-0.1015625,-0.19140625
2615,-0.09765625,-0.19140625
2789,-0.09765625,-0.1875
2802,-0.09375,-0.1875
2665,-0.02734375,-0.24609375
2668,-0.0234375,-0.24609375
2671,-0.02734375,-0.2421875
2674,-0.0234375,-0.2421875
2673,-0.02734375,-0.23828125
2676,-0.0234375,-0.23828125
2688,-0.03125,-0.234375
2689,-0.02734375,-0.234375
2690,-0.03125,-0.23046875
2691,-0.02734375,-0.23046875
2696,-0.03125,-0.2265625
2697,-0.02734375,-0.2265625
2698,-0.03125,-0.22265625
2699,-0.02734375,-0.22265625
2749,-0.03125,-0.21875
2750,-0.02734375,-0.21875
2717,-0.03515625,-0.21484375
2751,-0.03125,-0.21484375
2723,-0.03515625,-0.2109375
2757,-0.03125,-0.2109375
2725,-0.03515625,-0.20703125
2759,-0.03125,-0.20703125
2738,-0.03515625,-0.203125
2767,-0.03125,-0.203125
2740,-0.03515625,-0.19921875
2769,-0.03125,-0.19921875
2746,-0.03515625,-0.1953125
2773,-0.03125,-0.1953125
2747,-0.0390625,-0.19140625
2748,-0.03515625,-0.19140625
2907,-0.0390625,-0.1875
2908,-0.03515625,-0.1875
2804,-0.09375,-0.18359375
2805,-0.08984375,-0.18359375
2811,-0.08984375,-0.1796875
2814,-0.0859375,-0.1796875
2816,-0.0859375,-0.17578125
2817,-0.08203125,-0.17578125
2839,-0.08203125,-0.171875
2848,-0.078125,-0.171875
2850,-0.078125,-0.16796875
2851,-0.07421875,-0.16796875
2857,-0.07421875,-0.1640625
2860,-0.0703125,-0.1640625
2862,-0.0703125,-0.16015625
2863,-0.06640625,-0.16015625
2874,-0.06640625,-0.15625
2929,-0.0625,-0.16015625
2979,-0.0625,-0.15625
2909,-0.0390625,-0.18359375
2910,-0.03515625,-0.18359375
2915,-0.0390625,-0.1796875
2916,-0.03515625,-0.1796875
2936,-0.04296875,-0.171875
2917,-0.0390625,-0.17578125
2939,-0.0390625,-0.171875
2918,-0.03515625,-0.17578125
2980,-0.05859375,-0.15625
2938,-0.04296875,-0.16796875
2941,-0.0390625,-0.16796875
2944,-0.04296875,-0.1640625
2947,-0.0390625,-0.1640625
2946,-0.04296875,-0.16015625
2949,-0.0390625,-0.16015625
2995,-0.046875,-0.15625
2996,-0.04296875,-0.15625
2982,-0.05859375,-0.15234375
2983,-0.0546875,-0.15625
2985,-0.0546875,-0.15234375
2986,-0.05078125,-0.15234375
2997,-0.046875,-0.15234375
2992,-0.05078125,-0.1484375
3074,-0.24609375,-0.05859375
3080,-0.24609375,-0.0546875
3083,-0.2421875,-0.0546875
3085,-0.2421875,-0.05078125
3086,-0.23828125,-0.05078125
3106,-0.23828125,-0.046875
3095,-0.234375,-0.05078125
3115,-0.234375,-0.046875
