"i","x","y"
221,-0.328125,-0.265625
200,-0.32421875,-0.26953125
222,-0.32421875,-0.265625
203,-0.3203125,-0.26953125
225,-0.3203125,-0.265625
202,-0.31640625,-0.2734375
204,-0.31640625,-0.26953125
313,-0.3125,-0.2734375
315,-0.3125,-0.26953125
214,-0.33984375,-0.2578125
211,-0.3359375,-0.26171875
217,-0.3359375,-0.2578125
212,-0.33203125,-0.26171875
223,-0.328125,-0.26171875
218,-0.33203125,-0.2578125
215,-0.34375,-0.25390625
216,-0.33984375,-0.25390625
932,-0.34375,-0.25
933,-0.33984375,-0.25
314,-0.30859375,-0.2734375
311,-0.3046875,-0.27734375
317,-0.3046875,-0.2734375
312,-0.30078125,-0.27734375
318,-0.30078125,-0.2734375
323,-0.296875,-0.27734375
329,-0.296875,-0.2734375
316,-0.30859375,-0.26953125
324,-0.29296875,-0.27734375
330,-0.29296875,-0.2734375
327,-0.2890625,-0.27734375
333,-0.2890625,-0.2734375
328,-0.28515625,-0.27734375
334,-0.28515625,-0.2734375
371,-0.28125,-0.27734375
377,-0.28125,-0.2734375
372,-0.27734375,-0.27734375
378,-0.27734375,-0.2734375
375,-0.2734375,-0.27734375
381,-0.2734375,-0.2734375
376,-0.26953125,-0.27734375
382,-0.26953125,-0.2734375
387,-0.265625,-0.27734375
393,-0.265625,-0.2734375
388,-0.26171875,-0.27734375
394,-0.26171875,-0.2734375
391,-0.2578125,-0.27734375
397,-0.2578125,-0.2734375
398,-0.25390625,-0.2734375
400,-0.25390625,-0.26953125
480,-0.25,-0.2734375
482,-0.25,-0.26953125
481,-0.24609375,-0.2734375
483,-0.24609375,-0.26953125
484,-0.2421875,-0.2734375
486,-0.2421875,-0.26953125
485,-0.23828125,-0.2734375
487,-0.23828125,-0.26953125
498,-0.234375,-0.26953125
520,-0.234375,-0.265625
499,-0.23046875,-0.26953125
521,-0.23046875,-0.265625
502,-0.2265625,-0.26953125
524,-0.2265625,-0.265625
525,-0.22265625,-0.265625
527,-0.22265625,-0.26171875
563,-0.21875,-0.265625
565,-0.21875,-0.26171875
564,-0.21484375,-0.265625
566,-0.21484375,-0.26171875
569,-0.2109375,-0.26171875
575,-0.2109375,-0.2578125
570,-0.20703125,-0.26171875
576,-0.20703125,-0.2578125
581,-0.203125,-0.26171875
587,-0.203125,-0.2578125
588,-0.19921875,-0.2578125
590,-0.19921875,-0.25390625
591,-0.1953125,-0.2578125
593,-0.1953125,-0.25390625
594,-0.19140625,-0.25390625
1711,-0.19140625,-0.25
611,-0.1875,-0.25390625
1732,-0.1875,-0.25
1733,-0.18359375,-0.25
695,-0.00390625,-0.3046875
689,0,-0.30859375
696,0,-0.3046875
698,-0.00390625,-0.30078125
699,0,-0.30078125
717,-0.0078125,-0.296875
718,-0.00390625,-0.296875
720,-0.0078125,-0.29296875
721,-0.00390625,-0.29296875
727,-0.0078125,-0.2890625
728,-0.00390625,-0.2890625
726,-0.01171875,-0.28515625
730,-0.0078125,-0.28515625
763,-0.01171875,-0.28125
766,-0.0078125,-0.28125
761,-0.01953125,-0.26953125
772,-0.015625,-0.2734375
774,-0.015625,-0.26953125
787,-0.01953125,-0.265625
798,-0.015625,-0.265625
764,-0.015625,-0.27734375
765,-0.01171875,-0.27734375
773,-0.01171875,-0.2734375
789,-0.01953125,-0.26171875
800,-0.015625,-0.26171875
794,-0.0234375,-0.2578125
795,-0.01953125,-0.2578125
796,-0.0234375,-0.25390625
797,-0.01953125,-0.25390625
2082,-0.0234375,-0.25
2083,-0.01953125,-0.25
891,-0.34765625,-0.24609375
934,-0.34375,-0.24609375
896,-0.3515625,-0.2421875
897,-0.34765625,-0.2421875
917,-0.35546875,-0.234375
898,-0.3515625,-0.23828125
920,-0.3515625,-0.234375
899,-0.34765625,-0.23828125
919,-0.35546875,-0.23046875
922,-0.3515625,-0.23046875
925,-0.35546875,-0.2265625
928,-0.3515625,-0.2265625
927,-0.35546875,-0.22265625
930,-0.3515625,-0.22265625
1010,-0.35546875,-0.21875
1013,-0.3515625,-0.21875
1012,-0.35546875,-0.21484375
1015,-0.3515625,-0.21484375
1018,-0.35546875,-0.2109375
1021,-0.3515625,-0.2109375
1020,-0.35546875,-0.20703125
1023,-0.3515625,-0.20703125
1042,-0.35546875,-0.203125
1045,-0.3515625,-0.203125
1044,-0.35546875,-0.19921875
1047,-0.3515625,-0.19921875
1050,-0.35546875,-0.1953125
1053,-0.3515625,-0.1953125
1052,-0.35546875,-0.19140625
1055,-0.3515625,-0.19140625
1155,-0.3515625,-0.1875
1156,-0.34765625,-0.1875
1157,-0.3515625,-0.18359375
1158,-0.34765625,-0.18359375
1163,-0.3515625,-0.1796875
1164,-0.34765625,-0.1796875
1166,-0.34765625,-0.17578125
1204,-0.34375,-0.17578125
1183,-0.34765625,-0.171875
1219,-0.34375,-0.171875
1221,-0.34375,-0.16796875
1222,-0.33984375,-0.16796875
1227,-0.34375,-0.1640625
1228,-0.33984375,-0.1640625
1229,-0.34375,-0.16015625
1230,-0.33984375,-0.16015625
1279,-0.33984375,-0.15625
1282,-0.3359375,-0.15625
1284,-0.3359375,-0.15234375
1285,-0.33203125,-0.15234375
1290,-0.3359375,-0.1484375
1291,-0.33203125,-0.1484375
1293,-0.33203125,-0.14453125
1304,-0.328125,-0.14453125
1315,-0.33203125,-0.140625
1326,-0.328125,-0.140625
1328,-0.328125,-0.13671875
1329,-0.32421875,-0.13671875
1335,-0.32421875,-0.1328125
1338,-0.3203125,-0.1328125
